text,category
Passengers for flight AI787 to Kolkata proceed to gate 12,Departure
Passengers are requested to follow emergency procedures,Emergency
Due to weather conditions flight AI250 has been delayed,Delay
Passengers for flight AI597 to Dubai proceed to gate 3,Departure
Passengers arriving on flight AI987 from Singapore may collect baggage,Arrival
Gate changed from 10 to 11 for flight AI404,Gate Change
Flight AI548 from Bangalore has arrived,Arrival
Flight AI664 bound for Mumbai will depart shortly,Departure
Passengers for flight AI435 please proceed to gate 14,Gate Change
Passengers arriving on flight AI745 from Kolkata may collect baggage,Arrival
Security alert reported near terminal,Emergency
Gate changed from 5 to 14 for flight AI750,Gate Change
Flight AI941 from Hyderabad has arrived,Arrival
Boarding announcement for flight AI197,Boarding
Flight AI207 from London has arrived,Arrival
Flight AI180 has successfully landed from Singapore,Arrival
Flight AI975 to Pune is ready for departure,Departure
Flight AI629 to Mumbai is ready for departure,Departure
Passengers may now board flight AI917,Boarding
Final boarding call for flight AI296,Boarding
Arrival completed for flight AI531 from Chennai,Arrival
Final boarding call for flight AI669,Boarding
Flight AI590 scheduled for Pune is delayed,Delay
Arrival completed for flight AI202 from Singapore,Arrival
Due to weather conditions flight AI584 has been delayed,Delay
Gate changed from 8 to 19 for flight AI679,Gate Change
Flight AI962 has successfully landed from Dubai,Arrival
Flight AI797 departure gate has been changed,Gate Change
Airport emergency protocol has been activated,Emergency
Flight AI855 departure gate has been changed,Gate Change
Passengers are requested to follow emergency procedures,Emergency
Emergency evacuation required immediately,Emergency
Gate update for flight AI480,Gate Change
Flight AI277 bound for Dubai will depart shortly,Departure
Passengers for flight AI796 please proceed to gate 11,Gate Change
Boarding started for flight AI758 at gate 8,Boarding
Airport emergency protocol has been activated,Emergency
Departure announcement for flight AI891 to Kolkata,Departure
Flight AI203 from Singapore has arrived,Arrival
Boarding started for flight AI399 at gate 2,Boarding
Emergency evacuation required immediately,Emergency
Flight AI344 scheduled for Mumbai is delayed,Delay
Passengers for flight AI812 to Hyderabad proceed to gate 19,Departure
Arrival completed for flight AI129 from Bangalore,Arrival
Passengers of flight AI180 please note the delay,Delay
Security alert reported near terminal,Emergency
Airport emergency protocol has been activated,Emergency
Passengers of flight AI348 please note the delay,Delay
Passengers may now board flight AI859,Boarding
Passengers for flight AI543 to Pune proceed to gate 16,Departure
Flight AI192 bound for Kolkata will depart shortly,Departure
Flight AI477 scheduled for Singapore is delayed,Delay
Airport emergency protocol has been activated,Emergency
Emergency evacuation required immediately,Emergency
Boarding started for flight AI977 at gate 2,Boarding
Flight AI145 to Dubai is delayed by 65 minutes,Delay
Flight AI216 to Mumbai is delayed by 59 minutes,Delay
Passengers arriving on flight AI860 from Pune may collect baggage,Arrival
Gate update for flight AI280,Gate Change
Emergency evacuation required immediately,Emergency
Flight AI183 has successfully landed from Hyderabad,Arrival
Airport emergency protocol has been activated,Emergency
Airport emergency protocol has been activated,Emergency
Flight AI152 to Pune is ready for departure,Departure
Passengers are requested to follow emergency procedures,Emergency
Due to weather conditions flight AI338 has been delayed,Delay
Flight AI362 has successfully landed from Hyderabad,Arrival
Boarding started for flight AI857 at gate 2,Boarding
Flight AI331 departure gate has been changed,Gate Change
Boarding announcement for flight AI970,Boarding
Flight AI869 departure gate has been changed,Gate Change
Gate update for flight AI938,Gate Change
Flight AI998 scheduled for Dubai is delayed,Delay
Departure announcement for flight AI157 to Pune,Departure
Passengers arriving on flight AI889 from Singapore may collect baggage,Arrival
Passengers are requested to follow emergency procedures,Emergency
Flight AI220 to Singapore is delayed by 27 minutes,Delay
Flight AI313 to Chennai is ready for departure,Departure
Final boarding call for flight AI672,Boarding
Emergency evacuation required immediately,Emergency
Flight AI160 from Hyderabad has arrived,Arrival
Passengers may now board flight AI336,Boarding
Final boarding call for flight AI269,Boarding
Airport emergency protocol has been activated,Emergency
Due to weather conditions flight AI510 has been delayed,Delay
Flight AI325 to Hyderabad is delayed by 93 minutes,Delay
Flight AI272 has successfully landed from Hyderabad,Arrival
Emergency evacuation required immediately,Emergency
Passengers arriving on flight AI928 from London may collect baggage,Arrival
Departure announcement for flight AI930 to London,Departure
Gate changed from 8 to 14 for flight AI181,Gate Change
Passengers for flight AI249 to Pune proceed to gate 12,Departure
Flight AI925 departure gate has been changed,Gate Change
Passengers may now board flight AI557,Boarding
Gate update for flight AI720,Gate Change
Flight AI508 to Pune is ready for departure,Departure
Gate changed from 2 to 18 for flight AI172,Gate Change
Departure announcement for flight AI579 to Bangalore,Departure
Gate changed from 2 to 15 for flight AI716,Gate Change
Flight AI303 bound for Hyderabad will depart shortly,Departure
Emergency evacuation required immediately,Emergency
Departure announcement for flight AI498 to London,Departure
Security alert reported near terminal,Emergency
Departure announcement for flight AI135 to Pune,Departure
Gate changed from 8 to 18 for flight AI380,Gate Change
Passengers arriving on flight AI553 from Bangalore may collect baggage,Arrival
Passengers arriving on flight AI341 from Pune may collect baggage,Arrival
Flight AI187 to Chennai is delayed by 114 minutes,Delay
Flight AI670 to Hyderabad is delayed by 87 minutes,Delay
Security alert reported near terminal,Emergency
Passengers of flight AI810 please note the delay,Delay
Gate update for flight AI896,Gate Change
Flight AI773 scheduled for Dubai is delayed,Delay
Flight AI946 scheduled for Mumbai is delayed,Delay
Flight AI823 bound for Delhi will depart shortly,Departure
Flight AI470 scheduled for Singapore is delayed,Delay
Passengers may now board flight AI359,Boarding
Flight AI943 to London is ready for departure,Departure
Passengers are requested to follow emergency procedures,Emergency
Passengers for flight AI121 please proceed to gate 15,Gate Change
Passengers arriving on flight AI228 from Pune may collect baggage,Arrival
Flight AI376 bound for Dubai will depart shortly,Departure
Passengers of flight AI566 please note the delay,Delay
Passengers may now board flight AI900,Boarding
Flight AI975 to Kolkata is delayed by 105 minutes,Delay
Flight AI580 bound for Dubai will depart shortly,Departure
Passengers of flight AI130 please note the delay,Delay
Flight AI562 to London is delayed by 67 minutes,Delay
Departure announcement for flight AI988 to Delhi,Departure
Flight AI356 to Delhi is ready for departure,Departure
Flight AI242 to Kolkata is delayed by 117 minutes,Delay
Emergency evacuation required immediately,Emergency
Flight AI611 departure gate has been changed,Gate Change
Boarding announcement for flight AI431,Boarding
Boarding started for flight AI930 at gate 1,Boarding
Passengers of flight AI424 please note the delay,Delay
Gate changed from 7 to 11 for flight AI130,Gate Change
Airport emergency protocol has been activated,Emergency
Passengers arriving on flight AI212 from Bangalore may collect baggage,Arrival
Flight AI457 departure gate has been changed,Gate Change
Flight AI132 from Bangalore has arrived,Arrival
Flight AI997 from Mumbai has arrived,Arrival
Flight AI950 bound for Mumbai will depart shortly,Departure
Boarding announcement for flight AI979,Boarding
Emergency evacuation required immediately,Emergency
Passengers of flight AI514 please note the delay,Delay
Due to weather conditions flight AI933 has been delayed,Delay
Gate changed from 4 to 19 for flight AI111,Gate Change
Flight AI694 to Chennai is delayed by 97 minutes,Delay
Passengers are requested to follow emergency procedures,Emergency
Airport emergency protocol has been activated,Emergency
Flight AI665 from Delhi has arrived,Arrival
Flight AI516 from Hyderabad has arrived,Arrival
Passengers of flight AI826 please note the delay,Delay
Due to weather conditions flight AI385 has been delayed,Delay
Gate changed from 2 to 15 for flight AI284,Gate Change
Boarding announcement for flight AI347,Boarding
Boarding announcement for flight AI400,Boarding
Passengers are requested to follow emergency procedures,Emergency
Departure announcement for flight AI284 to London,Departure
Gate update for flight AI206,Gate Change
Flight AI648 bound for London will depart shortly,Departure
Due to weather conditions flight AI748 has been delayed,Delay
Flight AI380 from Mumbai has arrived,Arrival
Flight AI434 from London has arrived,Arrival
Gate update for flight AI152,Gate Change
Passengers for flight AI267 to Delhi proceed to gate 3,Departure
Airport emergency protocol has been activated,Emergency
Flight AI582 to Hyderabad is ready for departure,Departure
Flight AI838 to London is ready for departure,Departure
Gate changed from 6 to 17 for flight AI883,Gate Change
Flight AI695 has successfully landed from Delhi,Arrival
Security alert reported near terminal,Emergency
Security alert reported near terminal,Emergency
Emergency evacuation required immediately,Emergency
Flight AI613 has successfully landed from Chennai,Arrival
Passengers for flight AI617 to Dubai proceed to gate 9,Departure
Passengers are requested to follow emergency procedures,Emergency
Final boarding call for flight AI263,Boarding
Gate update for flight AI660,Gate Change
Departure announcement for flight AI233 to Chennai,Departure
Passengers arriving on flight AI608 from Singapore may collect baggage,Arrival
Boarding started for flight AI483 at gate 1,Boarding
Gate changed from 4 to 16 for flight AI414,Gate Change
Final boarding call for flight AI602,Boarding
Passengers of flight AI137 please note the delay,Delay
Departure announcement for flight AI462 to Chennai,Departure
Boarding started for flight AI646 at gate 13,Boarding
Emergency evacuation required immediately,Emergency
Airport emergency protocol has been activated,Emergency
Flight AI847 departure gate has been changed,Gate Change
Due to weather conditions flight AI403 has been delayed,Delay
Flight AI654 to Singapore is delayed by 64 minutes,Delay
Gate update for flight AI962,Gate Change
Final boarding call for flight AI186,Boarding
Airport emergency protocol has been activated,Emergency
Airport emergency protocol has been activated,Emergency
Passengers for flight AI780 please proceed to gate 18,Gate Change
Flight AI252 to Chennai is ready for departure,Departure
Flight AI277 scheduled for Hyderabad is delayed,Delay
Departure announcement for flight AI123 to Singapore,Departure
Passengers for flight AI818 to Kolkata proceed to gate 13,Departure
Boarding started for flight AI675 at gate 8,Boarding
Passengers for flight AI258 please proceed to gate 12,Gate Change
Passengers may now board flight AI785,Boarding
Boarding announcement for flight AI886,Boarding
Passengers of flight AI918 please note the delay,Delay
Emergency evacuation required immediately,Emergency
Passengers for flight AI226 please proceed to gate 18,Gate Change
Flight AI750 from London has arrived,Arrival
Boarding started for flight AI485 at gate 12,Boarding
Emergency evacuation required immediately,Emergency
Flight AI773 to Bangalore is delayed by 52 minutes,Delay
Flight AI712 to Pune is ready for departure,Departure
Airport emergency protocol has been activated,Emergency
Final boarding call for flight AI387,Boarding
Flight AI821 to Singapore is ready for departure,Departure
Passengers arriving on flight AI807 from Mumbai may collect baggage,Arrival
Gate update for flight AI198,Gate Change
Flight AI411 bound for London will depart shortly,Departure
Passengers are requested to follow emergency procedures,Emergency
Due to weather conditions flight AI457 has been delayed,Delay
Passengers for flight AI831 to Chennai proceed to gate 8,Departure
Passengers for flight AI234 please proceed to gate 14,Gate Change
Departure announcement for flight AI983 to Chennai,Departure
Emergency evacuation required immediately,Emergency
Flight AI478 departure gate has been changed,Gate Change
Boarding started for flight AI615 at gate 10,Boarding
Flight AI477 bound for Delhi will depart shortly,Departure
Gate update for flight AI576,Gate Change
Flight AI409 from Hyderabad has arrived,Arrival
Security alert reported near terminal,Emergency
Due to weather conditions flight AI165 has been delayed,Delay
Flight AI668 from Dubai has arrived,Arrival
Flight AI629 has successfully landed from Kolkata,Arrival
Passengers for flight AI522 please proceed to gate 15,Gate Change
Due to weather conditions flight AI134 has been delayed,Delay
Passengers may now board flight AI748,Boarding
Passengers of flight AI889 please note the delay,Delay
Passengers may now board flight AI646,Boarding
Flight AI636 from Hyderabad has arrived,Arrival
Flight AI554 to Kolkata is delayed by 40 minutes,Delay
Flight AI404 bound for Pune will depart shortly,Departure
Gate update for flight AI803,Gate Change
Emergency evacuation required immediately,Emergency
Boarding announcement for flight AI794,Boarding
Flight AI380 has successfully landed from Chennai,Arrival
Passengers for flight AI166 to Delhi proceed to gate 7,Departure
Boarding started for flight AI261 at gate 12,Boarding
Flight AI701 has successfully landed from Chennai,Arrival
Boarding started for flight AI101 at gate 9,Boarding
Flight AI380 departure gate has been changed,Gate Change
Flight AI630 departure gate has been changed,Gate Change
Flight AI241 has successfully landed from London,Arrival
Flight AI844 departure gate has been changed,Gate Change
Emergency evacuation required immediately,Emergency
Security alert reported near terminal,Emergency
Passengers for flight AI587 to Dubai proceed to gate 3,Departure
Flight AI595 to London is delayed by 57 minutes,Delay
Flight AI383 scheduled for Hyderabad is delayed,Delay
Departure announcement for flight AI537 to Chennai,Departure
Emergency evacuation required immediately,Emergency
Airport emergency protocol has been activated,Emergency
Flight AI926 from Dubai has arrived,Arrival
Due to weather conditions flight AI956 has been delayed,Delay
Passengers may now board flight AI720,Boarding
Passengers for flight AI649 please proceed to gate 13,Gate Change
Flight AI914 bound for London will depart shortly,Departure
Due to weather conditions flight AI661 has been delayed,Delay
Flight AI295 from Dubai has arrived,Arrival
Departure announcement for flight AI262 to Bangalore,Departure
Passengers for flight AI654 to Pune proceed to gate 15,Departure
Flight AI186 departure gate has been changed,Gate Change
Gate update for flight AI624,Gate Change
Boarding announcement for flight AI622,Boarding
Flight AI978 to Hyderabad is delayed by 35 minutes,Delay
Due to weather conditions flight AI211 has been delayed,Delay
Passengers for flight AI430 please proceed to gate 15,Gate Change
Passengers arriving on flight AI663 from Singapore may collect baggage,Arrival
Flight AI537 scheduled for Singapore is delayed,Delay
Gate changed from 4 to 15 for flight AI477,Gate Change
Passengers arriving on flight AI979 from London may collect baggage,Arrival
Due to weather conditions flight AI169 has been delayed,Delay
Flight AI877 to Mumbai is delayed by 54 minutes,Delay
Arrival completed for flight AI634 from Hyderabad,Arrival
Flight AI793 to Kolkata is ready for departure,Departure
Arrival completed for flight AI842 from Singapore,Arrival
Flight AI531 has successfully landed from Singapore,Arrival
Emergency evacuation required immediately,Emergency
Boarding announcement for flight AI865,Boarding
Flight AI798 from London has arrived,Arrival
Passengers for flight AI941 to Pune proceed to gate 2,Departure
Gate changed from 1 to 14 for flight AI173,Gate Change
Passengers may now board flight AI760,Boarding
Emergency evacuation required immediately,Emergency
Security alert reported near terminal,Emergency
Passengers for flight AI959 to London proceed to gate 17,Departure
Passengers for flight AI966 to Dubai proceed to gate 12,Departure
Due to weather conditions flight AI108 has been delayed,Delay
Flight AI395 bound for Mumbai will depart shortly,Departure
Passengers of flight AI768 please note the delay,Delay
Gate update for flight AI859,Gate Change
Flight AI466 bound for Bangalore will depart shortly,Departure
Gate changed from 10 to 16 for flight AI968,Gate Change
Passengers of flight AI763 please note the delay,Delay
Gate changed from 6 to 11 for flight AI342,Gate Change
Passengers of flight AI492 please note the delay,Delay
Passengers for flight AI401 to Bangalore proceed to gate 12,Departure
Boarding started for flight AI791 at gate 11,Boarding
Passengers for flight AI764 to Kolkata proceed to gate 15,Departure
Boarding started for flight AI391 at gate 8,Boarding
Due to weather conditions flight AI698 has been delayed,Delay
Due to weather conditions flight AI441 has been delayed,Delay
Security alert reported near terminal,Emergency
Passengers for flight AI961 to Kolkata proceed to gate 2,Departure
Flight AI718 scheduled for Dubai is delayed,Delay
Flight AI717 has successfully landed from Bangalore,Arrival
Boarding started for flight AI625 at gate 9,Boarding
Passengers may now board flight AI134,Boarding
Flight AI337 has successfully landed from Pune,Arrival
Emergency evacuation required immediately,Emergency
Passengers are requested to follow emergency procedures,Emergency
Flight AI945 scheduled for Singapore is delayed,Delay
Passengers may now board flight AI643,Boarding
Security alert reported near terminal,Emergency
Gate update for flight AI908,Gate Change
Flight AI295 to Chennai is ready for departure,Departure
Passengers are requested to follow emergency procedures,Emergency
Passengers for flight AI156 to Singapore proceed to gate 18,Departure
Airport emergency protocol has been activated,Emergency
Passengers arriving on flight AI122 from Chennai may collect baggage,Arrival
Flight AI930 from Singapore has arrived,Arrival
Flight AI520 to Chennai is ready for departure,Departure
Flight AI159 from Delhi has arrived,Arrival
Boarding announcement for flight AI414,Boarding
Passengers are requested to follow emergency procedures,Emergency
Passengers are requested to follow emergency procedures,Emergency
Passengers may now board flight AI685,Boarding
Airport emergency protocol has been activated,Emergency
Airport emergency protocol has been activated,Emergency
Boarding started for flight AI378 at gate 11,Boarding
Flight AI954 bound for Hyderabad will depart shortly,Departure
Gate changed from 3 to 16 for flight AI380,Gate Change
Airport emergency protocol has been activated,Emergency
Passengers of flight AI990 please note the delay,Delay
Flight AI864 scheduled for Mumbai is delayed,Delay
Flight AI855 scheduled for London is delayed,Delay
Flight AI178 departure gate has been changed,Gate Change
Flight AI780 scheduled for Delhi is delayed,Delay
Emergency evacuation required immediately,Emergency
Security alert reported near terminal,Emergency
Arrival completed for flight AI934 from Hyderabad,Arrival
Flight AI574 from Mumbai has arrived,Arrival
Due to weather conditions flight AI382 has been delayed,Delay
Passengers of flight AI781 please note the delay,Delay
Flight AI120 has successfully landed from Chennai,Arrival
Boarding announcement for flight AI268,Boarding
Flight AI134 scheduled for Chennai is delayed,Delay
Passengers may now board flight AI303,Boarding
Flight AI683 from Mumbai has arrived,Arrival
Flight AI926 to Hyderabad is ready for departure,Departure
Gate changed from 10 to 17 for flight AI644,Gate Change
Flight AI623 to Delhi is ready for departure,Departure
Passengers for flight AI513 please proceed to gate 19,Gate Change
Passengers are requested to follow emergency procedures,Emergency
Passengers for flight AI487 please proceed to gate 12,Gate Change
Passengers arriving on flight AI164 from Hyderabad may collect baggage,Arrival
Passengers may now board flight AI303,Boarding
Departure announcement for flight AI173 to Mumbai,Departure
Flight AI593 to Dubai is delayed by 22 minutes,Delay
Boarding announcement for flight AI322,Boarding
Airport emergency protocol has been activated,Emergency
Final boarding call for flight AI235,Boarding
Passengers may now board flight AI305,Boarding
Flight AI249 departure gate has been changed,Gate Change
Passengers may now board flight AI354,Boarding
Flight AI224 departure gate has been changed,Gate Change
Flight AI110 has successfully landed from London,Arrival
Boarding started for flight AI884 at gate 12,Boarding
Passengers for flight AI421 to Dubai proceed to gate 9,Departure
Gate changed from 2 to 17 for flight AI974,Gate Change
Flight AI510 departure gate has been changed,Gate Change
Passengers are requested to follow emergency procedures,Emergency
Passengers are requested to follow emergency procedures,Emergency
Airport emergency protocol has been activated,Emergency
Flight AI336 has successfully landed from Dubai,Arrival
Gate changed from 8 to 17 for flight AI130,Gate Change
Flight AI321 departure gate has been changed,Gate Change
Airport emergency protocol has been activated,Emergency
Flight AI103 from Mumbai has arrived,Arrival
Passengers may now board flight AI541,Boarding
Final boarding call for flight AI773,Boarding
Flight AI319 bound for London will depart shortly,Departure
Gate update for flight AI266,Gate Change
Passengers for flight AI792 to Mumbai proceed to gate 10,Departure
Gate update for flight AI998,Gate Change
Boarding started for flight AI356 at gate 19,Boarding
Passengers for flight AI505 please proceed to gate 13,Gate Change
Boarding started for flight AI643 at gate 6,Boarding
Flight AI953 from Hyderabad has arrived,Arrival
Passengers for flight AI983 to Dubai proceed to gate 2,Departure
Passengers for flight AI203 please proceed to gate 19,Gate Change
Flight AI617 from Hyderabad has arrived,Arrival
Passengers may now board flight AI411,Boarding
Passengers arriving on flight AI114 from Mumbai may collect baggage,Arrival
Flight AI645 to Chennai is delayed by 69 minutes,Delay
Emergency evacuation required immediately,Emergency
Departure announcement for flight AI756 to Kolkata,Departure
Arrival completed for flight AI573 from Delhi,Arrival
Boarding announcement for flight AI352,Boarding
Passengers may now board flight AI904,Boarding
Arrival completed for flight AI456 from Dubai,Arrival
Passengers of flight AI846 please note the delay,Delay
Security alert reported near terminal,Emergency
Flight AI130 has successfully landed from Hyderabad,Arrival
Passengers of flight AI202 please note the delay,Delay
Flight AI764 from Kolkata has arrived,Arrival
Passengers arriving on flight AI360 from Kolkata may collect baggage,Arrival
Boarding started for flight AI271 at gate 19,Boarding
Boarding started for flight AI968 at gate 1,Boarding
Passengers of flight AI764 please note the delay,Delay
Emergency evacuation required immediately,Emergency
Flight AI977 bound for Singapore will depart shortly,Departure
Flight AI774 to Mumbai is delayed by 79 minutes,Delay
Arrival completed for flight AI102 from Bangalore,Arrival
Flight AI256 to Chennai is ready for departure,Departure
Flight AI318 bound for Singapore will depart shortly,Departure
Security alert reported near terminal,Emergency
Final boarding call for flight AI328,Boarding
Flight AI606 from Mumbai has arrived,Arrival
Flight AI425 to Bangalore is delayed by 115 minutes,Delay
Airport emergency protocol has been activated,Emergency
Final boarding call for flight AI535,Boarding
Flight AI457 to Kolkata is ready for departure,Departure
Gate changed from 5 to 14 for flight AI986,Gate Change
Passengers arriving on flight AI409 from Hyderabad may collect baggage,Arrival
Flight AI586 to Bangalore is delayed by 84 minutes,Delay
Passengers for flight AI629 please proceed to gate 15,Gate Change
Passengers of flight AI633 please note the delay,Delay
Passengers are requested to follow emergency procedures,Emergency
Security alert reported near terminal,Emergency
Passengers of flight AI520 please note the delay,Delay
Boarding started for flight AI803 at gate 5,Boarding
Flight AI349 bound for Dubai will depart shortly,Departure
Gate changed from 8 to 12 for flight AI948,Gate Change
Emergency evacuation required immediately,Emergency
Passengers arriving on flight AI372 from Chennai may collect baggage,Arrival
Passengers of flight AI531 please note the delay,Delay
Passengers are requested to follow emergency procedures,Emergency
Passengers arriving on flight AI305 from Dubai may collect baggage,Arrival
Passengers are requested to follow emergency procedures,Emergency
Boarding started for flight AI347 at gate 8,Boarding
Arrival completed for flight AI896 from Singapore,Arrival
Airport emergency protocol has been activated,Emergency
Passengers arriving on flight AI159 from Bangalore may collect baggage,Arrival
Passengers for flight AI626 please proceed to gate 11,Gate Change
Emergency evacuation required immediately,Emergency
Flight AI143 to Hyderabad is delayed by 56 minutes,Delay
Flight AI177 scheduled for Pune is delayed,Delay
Passengers are requested to follow emergency procedures,Emergency
Security alert reported near terminal,Emergency
Gate changed from 4 to 13 for flight AI938,Gate Change
Flight AI312 bound for Hyderabad will depart shortly,Departure
Passengers arriving on flight AI611 from Kolkata may collect baggage,Arrival
Security alert reported near terminal,Emergency
Boarding started for flight AI621 at gate 10,Boarding
Emergency evacuation required immediately,Emergency
Flight AI959 from Bangalore has arrived,Arrival
Flight AI924 bound for Chennai will depart shortly,Departure
Arrival completed for flight AI258 from Chennai,Arrival
Passengers of flight AI930 please note the delay,Delay
Boarding announcement for flight AI933,Boarding
Flight AI578 from London has arrived,Arrival
Flight AI422 bound for Kolkata will depart shortly,Departure
Flight AI124 scheduled for Delhi is delayed,Delay
Passengers may now board flight AI383,Boarding
Emergency evacuation required immediately,Emergency
Boarding announcement for flight AI188,Boarding
Flight AI864 to Bangalore is delayed by 29 minutes,Delay
Passengers may now board flight AI504,Boarding
Passengers arriving on flight AI170 from Bangalore may collect baggage,Arrival
Gate update for flight AI214,Gate Change
Due to weather conditions flight AI778 has been delayed,Delay
Flight AI268 scheduled for Chennai is delayed,Delay
Flight AI103 scheduled for Mumbai is delayed,Delay
Passengers arriving on flight AI346 from Kolkata may collect baggage,Arrival
Flight AI500 from Chennai has arrived,Arrival
Final boarding call for flight AI385,Boarding
Passengers for flight AI257 to Pune proceed to gate 15,Departure
Passengers for flight AI259 to London proceed to gate 19,Departure
Departure announcement for flight AI949 to Chennai,Departure
Passengers for flight AI467 please proceed to gate 13,Gate Change
Gate update for flight AI369,Gate Change
Boarding announcement for flight AI113,Boarding
Passengers for flight AI663 please proceed to gate 17,Gate Change
Due to weather conditions flight AI440 has been delayed,Delay
Gate update for flight AI675,Gate Change
Gate changed from 2 to 12 for flight AI766,Gate Change
Passengers for flight AI654 to Delhi proceed to gate 19,Departure
Flight AI339 to Hyderabad is delayed by 80 minutes,Delay
Flight AI900 to Bangalore is delayed by 97 minutes,Delay
Flight AI475 has successfully landed from London,Arrival
Passengers for flight AI880 to Pune proceed to gate 5,Departure
Airport emergency protocol has been activated,Emergency
Flight AI780 to Bangalore is ready for departure,Departure
Airport emergency protocol has been activated,Emergency
Gate update for flight AI160,Gate Change
Passengers for flight AI617 please proceed to gate 12,Gate Change
Passengers arriving on flight AI626 from Bangalore may collect baggage,Arrival
Security alert reported near terminal,Emergency
Flight AI803 from Singapore has arrived,Arrival
Boarding started for flight AI309 at gate 11,Boarding
Passengers for flight AI244 to Pune proceed to gate 4,Departure
Due to weather conditions flight AI344 has been delayed,Delay
Departure announcement for flight AI153 to Hyderabad,Departure
Flight AI949 has successfully landed from Delhi,Arrival
Boarding started for flight AI109 at gate 14,Boarding
Passengers for flight AI844 to Chennai proceed to gate 16,Departure
Boarding announcement for flight AI540,Boarding
Flight AI885 to London is delayed by 108 minutes,Delay
Flight AI300 to Chennai is delayed by 71 minutes,Delay
Passengers of flight AI571 please note the delay,Delay
Gate changed from 8 to 15 for flight AI411,Gate Change
Arrival completed for flight AI157 from London,Arrival
Flight AI620 scheduled for Delhi is delayed,Delay
Gate update for flight AI363,Gate Change
Flight AI736 from Bangalore has arrived,Arrival
Flight AI418 from London has arrived,Arrival
Airport emergency protocol has been activated,Emergency
Flight AI211 from Pune has arrived,Arrival
Flight AI226 from Chennai has arrived,Arrival
Passengers for flight AI705 please proceed to gate 17,Gate Change
Gate changed from 8 to 20 for flight AI909,Gate Change
Departure announcement for flight AI977 to Kolkata,Departure
Passengers may now board flight AI386,Boarding
Passengers arriving on flight AI509 from Pune may collect baggage,Arrival
Flight AI657 scheduled for Chennai is delayed,Delay
Gate update for flight AI948,Gate Change
Arrival completed for flight AI320 from Dubai,Arrival
Emergency evacuation required immediately,Emergency
Passengers of flight AI220 please note the delay,Delay
Gate update for flight AI566,Gate Change
Emergency evacuation required immediately,Emergency
Airport emergency protocol has been activated,Emergency
Flight AI191 scheduled for Mumbai is delayed,Delay
Arrival completed for flight AI350 from Dubai,Arrival
Flight AI302 bound for Hyderabad will depart shortly,Departure
Flight AI537 has successfully landed from Singapore,Arrival
Passengers of flight AI532 please note the delay,Delay
Flight AI266 bound for London will depart shortly,Departure
Passengers for flight AI895 to Mumbai proceed to gate 19,Departure
Flight AI167 has successfully landed from Chennai,Arrival
Flight AI268 bound for London will depart shortly,Departure
Passengers may now board flight AI360,Boarding
Arrival completed for flight AI970 from Bangalore,Arrival
Final boarding call for flight AI567,Boarding
Flight AI620 has successfully landed from Mumbai,Arrival
Passengers of flight AI518 please note the delay,Delay
Flight AI662 scheduled for Mumbai is delayed,Delay
Passengers for flight AI234 to Delhi proceed to gate 10,Departure
Final boarding call for flight AI882,Boarding
Passengers are requested to follow emergency procedures,Emergency
Boarding started for flight AI912 at gate 15,Boarding
Passengers for flight AI339 please proceed to gate 13,Gate Change
Security alert reported near terminal,Emergency
Passengers arriving on flight AI333 from Delhi may collect baggage,Arrival
Passengers for flight AI982 to Singapore proceed to gate 8,Departure
